ADM0_NAME,pop_2001,pop_1960,pr_2001,tmax_2001,tmin_2001,srad_2001,vap_2001,vs_2001,pr_1960,tmax_1960,tmin_1960,srad_1960,vap_1960,vs_1960,LSTday_2001,LSTnight_2001,LSTday_1960,LSTnight_1960,ab_1960,ag_1960,ab_2001,ag_2001
Brunei Darussalam,1334.218453,975.6897053,335.2583333,31.02375,24.47583333,202.6420833,2.987666667,1.950208333,310.8719512,30.54796748,24.06565041,207.201626,2.936831301,1.931036585,29.60936869,23.4106,29.64517241,23.61888889,0.992324341,0.983872087,0.992555446,0.983199043
Brunei Darussalam,1326.270207,602.8039838,335.2583333,31.02375,24.47583333,202.6420833,2.987666667,1.950208333,310.8719512,30.54796748,24.06565041,207.201626,2.936831301,1.931036585,29.25476058,23.22749889,29.80943217,23.3863736,0.991254594,0.849634581,0.954696873,0.901884707
Brunei Darussalam,29626.83047,17722.94251,322.1000068,31.05656863,24.49456155,201.6221303,3.013528305,2.066258749,298.3164637,30.60334635,24.0922364,206.3703201,2.962676097,2.051904873,29.40340353,22.98766728,29.82265357,23.03745417,0.932734348,0.673521927,0.969987343,0.779264028
Brunei Darussalam,11129.75996,5906.345631,326.3804286,31.13357378,24.75903226,204.6130376,3.023819571,2.222267622,303.8602078,30.64852551,24.36030903,208.5631389,2.975356227,2.198550609,29.95697475,24.00438083,29.46967867,24.25189158,0.930777143,0.696753138,0.988078054,0.893884003
Brunei Darussalam,5119.146087,3158.234373,335.2583333,31.02375,24.47583333,202.6420833,2.987666667,1.950208333,310.8719512,30.54796748,24.06565041,207.201626,2.936831301,1.931036585,28.48772745,23.10012306,28.81147921,23.17096009,0.885907644,0.61672451,0.898571997,0.744848215
Brunei Darussalam,725.883338,823.8560501,335.2583333,31.02375,24.47583333,202.6420833,2.987666667,1.950208333,310.8719512,30.54796748,24.06565041,207.201626,2.936831301,1.931036585,30.8075866,23.68765541,31.29971358,24.08197506,0.992445459,0.985930132,0.992628627,0.986201186
Brunei Darussalam,932.0444047,1051.97276,335.2583333,31.02375,24.47583333,202.6420833,2.987666667,1.950208333,310.8719512,30.54796748,24.06565041,207.201626,2.936831301,1.931036585,30.78019908,23.7195531,31.28925444,24.14507538,0.992389084,0.981671751,0.992454075,0.981548537
Brunei Darussalam,2070.549671,2892.18204,301.2618554,29.27674242,22.46830137,197.2562378,2.606127422,1.446631494,276.3545737,28.79158152,22.04480178,202.1924617,2.556874315,1.406972795,26.28542846,20.74164065,26.4959829,19.91915834,0.288432919,0.204502285,0.32191083,0.185913697
Brunei Darussalam,4671.71736,1670.146795,355.6827327,31.0912382,24.48612184,202.5206585,2.967528743,1.850775257,328.0341853,30.60726593,24.06433424,207.2269571,2.915223246,1.822777045,28.8405699,22.53219126,28.46966083,22.1006466,0.770857929,0.411024698,0.846275311,0.447506026
Brunei Darussalam,1852.679557,1938.829664,327.8826832,30.25979548,23.58436819,201.5508254,2.785392969,1.631974674,300.8017149,29.77033782,23.16805394,206.0674097,2.735657591,1.59352982,27.52228507,22.09075657,27.58865903,21.36629737,0.481270089,0.23093773,0.531023526,0.249124257
