ADM0_NAME,ADM1_NAME,vs_2001,vap_2001,tmax_2001,tmin_2001,srad_2001,pr_2001,ab_1960,ag_1960,ab_2001,ag_2001,vs_1960,vap_1960,tmax_1960,tmin_1960,srad_1960,pr_1960,LSTday_1960,LSTnight_1960,LSTday_2001,LSTnight_2001,ADM0_NAME.y,pop_1960,pop_2001
Viet Nam,Dien Bien,1.729579633,1.967655078,26.52640451,16.80161751,186.1987805,145.2772266,0.551031445,0.529994534,0.480341964,0.498304048,1.524491862,1.970553554,26.01833224,15.88157959,176.9996454,144.4673967,25.2511403,17.4354091,25.03908626,17.88319777,Viet Nam,278263.0732,502125.9764
Viet Nam,Dong Nai,2.025111628,2.767976122,30.97268384,22.64213196,212.7728964,179.3381363,0.862733551,0.667821125,0.938194701,0.828342694,2.060223515,2.667295608,30.39299406,21.96376272,207.4142449,185.2283564,30.40645619,21.58964275,31.81423597,22.40750389,Viet Nam,1463297.411,2571771.899
Viet Nam,Dong Thap,1.481686607,2.930547026,31.97847258,24.57409018,210.8700617,118.5572203,0.954542848,0.772384815,0.986210044,0.906616634,1.528212215,2.821866901,31.43043947,23.87670547,206.803999,116.7466041,28.14776394,24.06943295,29.06911315,23.54659019,Viet Nam,1335725.738,1672316.548
Viet Nam,Gia Lai,1.84514987,2.421288123,29.31309276,19.87225455,219.1846052,162.3247717,0.572554099,0.575596947,0.702986908,0.603320715,1.888601754,2.352394036,28.77741662,19.08775955,215.6915253,159.0623633,29.85986023,18.90510449,30.06943575,19.92303029,Viet Nam,674181.4112,1309483.736
Viet Nam,Ha Giang,1.736175162,1.954602483,24.33601858,16.59727194,172.0053391,138.9018347,0.605318144,0.506322026,0.561514323,0.505212094,1.649356365,1.959963987,23.93219498,15.87209715,164.4094973,143.7115305,25.0833085,15.81667027,25.06835174,16.87455441,Viet Nam,524182.0863,742100.0019
Viet Nam,Ha Nam,1.471113156,2.478849391,27.49714437,20.8884621,180.5674726,139.3139224,0.905375075,0.801736071,0.958779176,0.887819975,1.55817944,2.482465273,27.06658885,20.2522401,171.841308,136.6058209,28.10634344,19.39657917,27.94370745,20.45549198,Viet Nam,717633.2638,779453.2303
Viet Nam,Ha Noi City,1.361188434,2.445947903,27.58634388,20.71898671,174.4125928,136.8117363,0.936074486,0.868933291,0.965625021,0.923969408,1.334354992,2.448521534,27.11858441,20.12453065,164.8585356,135.0836271,29.22935444,19.54108335,29.36732669,20.50673047,Viet Nam,2251710.142,3796429.91
Viet Nam,Ha Tay,1.409066729,2.456003453,27.57764537,20.59254166,176.1523897,142.3719108,0.898535798,0.792870274,0.961211783,0.896152124,1.403344188,2.459069502,27.11213749,19.96270747,167.1271857,139.9573076,28.60139238,19.55659423,28.54457492,20.58510665,Viet Nam,1623265.942,2748939.614
Viet Nam,Ha Tinh,1.992610099,2.443685295,28.02146935,21.11994325,199.7687767,186.6780686,0.832944871,0.78868846,0.87010039,0.811841224,2.204307281,2.442692881,27.62977626,20.49618883,194.5060081,174.2084123,29.80744697,19.73676472,29.29279425,21.09715659,Viet Nam,1179107.101,1212001.81
Viet Nam,Hai Duong,1.73268875,2.459963453,27.15647819,20.77462676,180.6056271,136.4379328,0.931287827,0.833517757,0.973778855,0.920144361,1.762385154,2.462538964,26.72586454,20.19981552,170.6588222,135.285241,27.62572309,19.53617041,27.80873574,20.54588607,Viet Nam,1464033.01,1703871.875
Viet Nam,Hai Phong City,2.384454147,2.503636481,27.06912904,21.06298009,184.1701448,142.4240415,0.960323098,0.908382196,0.986722618,0.956703614,2.499642896,2.506283056,26.69271263,20.51829345,175.069207,140.3567697,27.7096826,20.61094883,28.1887333,20.98839624,Viet Nam,1447657.505,1847100.146
Viet Nam,Hau Giang,1.644399755,2.977508025,31.70975775,25.05865532,206.6589427,142.0669506,0.977993545,0.837871258,0.989320369,0.93625858,1.650676278,2.862426927,31.16743977,24.35526451,202.4436763,139.6085132,29.23144922,23.52313419,29.539361,23.28590973,Viet Nam,834723.7501,801900.2005
Viet Nam,Ho Chi Minh City,2.357034495,2.898318576,32.29219151,23.73880627,206.8398977,154.6996528,0.987926919,0.953669778,0.990920871,0.98221453,2.378001538,2.788572201,31.72579181,23.0463472,201.5885118,152.6493467,33.72826625,23.29823709,35.35420697,23.99864546,Viet Nam,3467654.544,7683659.509
Viet Nam,Hoa Binh,1.506265942,2.326875961,26.84896541,19.52986601,178.9345494,146.3311831,0.731105661,0.67712822,0.783554772,0.715508067,1.528529713,2.330279609,26.3940724,18.82749905,170.711893,143.0729562,27.1362451,18.04619315,27.21571924,19.13117483,Viet Nam,725529.9364,793714.0462
Viet Nam,Hung Yen,1.474434732,2.463081361,27.36987094,20.775686,178.52426,140.238093,0.902107029,0.787938897,0.965384188,0.894350546,1.503881287,2.466058974,26.91652203,20.1793159,169.0398674,138.1645509,27.91181966,19.16838037,27.92348681,20.19402923,Viet Nam,982811.2628,1132518.811
Viet Nam,Khanh Hoa,2.468812293,2.546541289,28.91564139,21.10388898,215.3885437,99.02927052,0.646034935,0.626920933,0.740989221,0.73027469,2.504090781,2.487501805,28.37154559,20.39736248,213.1648136,100.8063849,28.38618331,19.94500183,29.04628812,20.78577028,Viet Nam,802693.7986,1134797.11
Viet Nam,Kien Giang,2.259542584,3.025107032,31.30269419,24.75152527,206.0960639,172.9604658,0.939041061,0.759961431,0.974156323,0.87881854,2.24598821,2.908014052,30.77338623,24.05242415,202.9210966,169.9998255,28.41421996,23.57182497,28.88076616,23.64444586,Viet Nam,1198520.855,1605879.937
Viet Nam,Kon Tum,1.873741556,2.185096898,27.60269445,17.41878206,220.1695922,187.841117,0.299324589,0.366929642,0.390057374,0.389161413,1.932892818,2.125902529,27.08295932,16.62341981,215.6793323,182.6031314,26.08172304,17.09389172,26.36874551,17.98838029,Viet Nam,232788.7072,484714.2903
Viet Nam,Lai Chau,1.808790647,1.845862909,24.13917072,15.72684341,181.9933083,136.3454541,0.584931007,0.503979588,0.479181122,0.453647838,1.631776364,1.849319251,23.65629617,14.78595482,172.9138099,139.8769473,24.49182622,15.94327379,23.96963216,16.33418349,Viet Nam,131657.9219,427168.4099
Viet Nam,Lam Dong,1.929857022,2.189135753,26.91925383,17.44989398,213.8459436,160.9280222,0.354670633,0.459689036,0.484561245,0.544534719,1.969158933,2.112720207,26.33454439,16.74746433,209.9428266,165.1811468,26.66793562,17.29327762,27.48770385,18.31121411,Viet Nam,784267.3862,1215341.092
Viet Nam,Lang Son,1.690190551,2.159669082,25.84284735,18.10177469,179.6697754,117.1937518,0.671685405,0.692411993,0.616370799,0.671061101,1.605422281,2.165145403,25.49837529,17.6057758,169.4740237,118.0479383,26.72762931,17.50581599,25.76563654,18.18136502,Viet Nam,616180.4165,729856.0755
Viet Nam,Lao Cai,1.739298697,1.963400827,24.1350002,16.83944261,175.9776328,141.8266936,0.60032972,0.504029471,0.593278023,0.529225958,1.585265922,1.966915696,23.69614977,15.96891823,167.6205341,146.5811032,24.76668506,15.95302137,24.79496824,16.82817292,Viet Nam,537337.3198,617309.37
Viet Nam,Long An,1.798945255,2.902071759,32.08412319,24.0552877,211.3080526,127.6476988,0.969085375,0.80759593,0.987877449,0.894801697,1.823998058,2.792094973,31.52153745,23.36474688,206.3837809,127.0235442,29.18180041,23.55429568,30.30245455,23.43457271,Viet Nam,1083422.689,1449825.923
